,Unnamed: 0,id,source,prompt,ramc_completion,completion_type,completion,completion_string,simplified_gt,simplified_gen,simplified_concepts,simplified_edge_correct
115,115,115,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation'],['EReference.realizingClassifier','EAnnotation.realizingClassifier'],['EReference.realizingClassifier','EAnnotation.realizingClassifier']"," 2 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oCKXd6tEei97MD7GK1RmA', 'key':'documentation','value':'The classifiers that are involved in the implementation of the Component that owns this Realization.\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/20110701}).</p>'}}""

$$",['Add_node'],"['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation']","[""['EAnnotation.realizingClassifier', 'EStringToStringMapEntry.documentation']"", ""['EReference.realizingClassifier', 'EReference.realizingClassifier'],"", ""['EAnnotation.realizingClassifier', 'EReference.realizingClassifier']"", ""['EAnnotation.realizingClassifier', 'EStringToStringMapEntry.name'],"", ""['EAnnotation.realizingClassifiers', 'EStringToStringMapEntry.documentation"", ""['the', 'EAnnotation.realizingClassifier']].\n['EReference"", ""['EAnnotation.realizingClassifier', 'EStringToStringMapEntry.supplier""]","['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation']",,EAnnotation.realizingClassifier,False
117,117,117,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.result','EStringToStringMapEntry.documentation'],['EReference.result','EAnnotation.result'],['EReference.result','EAnnotation.result']"," 1 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIIBut6tEei97MD7GK1RmA', 'key':'documentation','value':'The pin on which are put the objects participating in the association at the end not specified by the inputs.'}}""

$$",['Add_node'],"['EAnnotation.result','EStringToStringMapEntry.documentation']","[""['EAnnotation.result', 'EStringToStringMapEntry.mapping']].\n[['"", ""['Annotation', 'Annotation'], ['EReference', 'Annotation']]."", ""['EReference.result', 'EAnnotation.result'], ['EReference"", ""['EAnnotation', 'EStringToStringMapEntry']].\n['EAnnotation"", ""['EAnnotation.result', 'EStringToStringMapEntry.title'], ['E"", ""['EReference.result', 'EAnnotation.result'], ['EReference"", ""['EAnnotation.result', 'EStringToStringMapEntry.literal']]].\n[['""]","['EAnnotation.result','EStringToStringMapEntry.documentation']","['EReference.result','EAnnotation.result']",EAnnotation.result,False
122,122,122,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ownedEnd','EStringToStringMapEntry.documentation'],['EReference.ownedEnd','EAnnotation.ownedEnd'],['EReference.ownedEnd','EAnnotation.ownedEnd']"," 3 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oBymt6tEei97MD7GK1RmA', 'key':'documentation','value':'The ends that are owned by the association itself.\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/20110701}).</p>'}}""

$$",['Add_node'],"['EAnnotation.ownedEnd','EStringToStringMapEntry.documentation']","[""['EAnnotation.ownedEnd', 'EAnnotation.ownedEnd'], ['"", ""['EAnnotation.ownedEnd', 'EReference.ownedEnd']]."", ""['EReference.ownedEnd', 'EAnnotation.owningEnd"", ""['EAnnotation.ownedStart', 'EStringToStringMapEntry.documentation']"", ""['EAnnotation.ownedEnd', 'EAnnotation.ownedEnd.documentation']"", ""['EReference.ownedEnd', 'EAnnotation.ownedEnd']"", ""['EAnnotation.ownedEnd', 'EStringToStringMapEntry.name']""]","['EAnnotation.ownedEnd','EStringToStringMapEntry.documentation']","['EAnnotation.ownedEnd','EAnnotation.ownedEnd']",EAnnotation.ownedEnd,False
129,129,129,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.decider','EStringToStringMapEntry.documentation'],['EReference.decider','EAnnotation.decider'],['EReference.decider','EAnnotation.decider']"," 3 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_1u0yx96tEei97MD7GK1RmA', 'key':'documentation','value':'An OutputPin on an Action in the test section whose Boolean value determines whether to continue executing the loop bodyPart.\\n<p>From package UML::Actions.</p>'}}""

$$",['Add_node'],"['EAnnotation.decider','EStringToStringMapEntry.documentation']","[""['EAnnotation.decider', 'EStringToStringMapEntry.decider'],"", ""['EReference.decider', 'EAnnotation.decider'], ['DECIDER"", ""['EReference.decider', 'EAnnotation.decider'], ['ER"", ""['EAnnotation.decider', 'EStringToStringMapEntry.decider']"", ""['EAnnotation.decider', 'EAnnotation.decider'], ['EAnnotation"", ""['EReference.decider', 'EDocument.decider'], ['ED"", ""['EAnnotation.decider', 'EStringToStringMapEntry.documentation']].""]","['EAnnotation.decider','EStringToStringMapEntry.documentation']","['EAnnotation.decider','EStringToStringMapEntry.decider']",EAnnotation.decider,False
130,130,130,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.getUpper','EStringToStringMapEntry.suppressedVisibility'],['EOperation.getUpper','EAnnotation.getUpper'],['EOperation.getUpper','EAnnotation.getUpper'],['EAnnotation.getUpper','EStringToStringMapEntry.documentation']"," 0 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_t2OuOt6tEei97MD7GK1RmA', 'key':'documentation','value':'The derived upper attribute must equal the upperBound.\\r\\nresult = upperBound()'}}""

$$",['Add_node'],"['EAnnotation.getUpper','EStringToStringMapEntry.documentation']","[""['EAnnotation.getUpper', 'EStringToStringMapEntry.suppressedVisibility"", ""['EOperation.getUpper', 'EAnnotation.getUpper']].\n[['Cost"", ""['EAnnotation.getUpper', 'EAnnotation.getUpper']].\n[['E"", ""['EAnnotation.getUpper', 'EAnnotation.getLower']].\n['E"", ""['EAnnotation.getUpper', 'EStringToStringMapEntry.suppressedVisibility"", ""['EAnnotation.getLower', 'EStringToStringMapEntry.suppressedVisibility"", ""['EAnnotation.getUpper', 'EStringToStringMapEntry.suppressedVisibility"", ""['EOperation.getUpper', 'EOperation.getUpper'], ['EOperation"", ""['EOperation.getLower', 'EAnnotation.getLower']].\n['e"", ""['EOperation.getLower', 'EAnnotation.getLower'].\n['E"", ""['EAnnotation.getSuppressedVisibility', 'EStringToStringMapEntry.sup"", ""['EAnnotation.getUpper', 'EStringToStringMapEntry.suppressedVisibility"", ""['EAttribute.getUpper', 'EStringToStringMapEntry.suppressedVisibility"", ""['EOperation.getUpper', 'EAnnotation.getUpper'],['EOperation.get"", ""['EAnnotation.getUpper', 'EStringToStringMapEntry.suppressedVisibility""]","['EAnnotation.getUpper','EStringToStringMapEntry.documentation']",,EAnnotation.getUpper,False
131,131,131,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']"," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIICvd6tEei97MD7GK1RmA', 'key':'documentation','value':'The multiplicity of the result output pin is 1..1.\\nself.result.multiplicity.is(1,1)'}}""

$$",['Add_node'],"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","[""['EAnnotation.multiplicity', 'EStringToStringMapEntry']]."", ""['EOperation.multiplicity', 'EAnnotation.multiplicity'],['E"", ""['EAnnotation.multiplicity', 'EOperation.multiplicity']]."", ""['EAnnotation.multiplicity', 'EStringListOfStringMapEntry.documentation"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity.documentation'],"", ""['EAnnotation.multiplicity', 'EOperation.multiplicity']]."", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity.documentation']""]","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","['EAnnotation.multiplicity','EOperation.multiplicity']",EAnnotation.multiplicity,False
134,134,134,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ends_of_association','EStringToStringMapEntry.documentation'],['EOperation.ends_of_association','EAnnotation.ends_of_association'],['EOperation.ends_of_association','EAnnotation.ends_of_association']"," 3 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIIB3d6tEei97MD7GK1RmA', 'key':'documentation','value':'The ends of the association must not be static.\\nself.end.association.memberEnd->forall(e | not e.isStatic)'}}""

$$",['Add_node'],"['EAnnotation.ends_of_association','EStringToStringMapEntry.documentation']","[""['EAnnotation.ends_of_association', 'EStringToStringMapEntry.base"", ""['EAnnotation.effective_begin', 'EAnnotation.effective_end']]."", ""['EOperation.ends_of_association', 'EAnnotation.ends_of_association"", ""['EAnnotation.ends_of_association', 'EStringToStringMapEntry.reference"", ""['DedicatedTo', 'EAnnotation']].\n['EAnnotation.ends"", ""['EOperation.ends_of_association', 'EAnnotation.ends_of_association"", ""['EAnnotation.end_of_association', 'EStringToStringMapEntry.documentation""]","['EAnnotation.ends_of_association','EStringToStringMapEntry.documentation']",,EAnnotation.effective_begin,False
142,142,142,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type_is_classifier','EStringToStringMapEntry.documentation'],['EOperation.type_is_classifier','EAnnotation.type_is_classifier'],['EOperation.type_is_classifier','EAnnotation.type_is_classifier']"," 4 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIIBBN6tEei97MD7GK1RmA', 'key':'documentation','value':'The type of the result output pin is the classifier.\\ntrue'}}""

$$",['Add_node'],"['EAnnotation.type_is_classifier','EStringToStringMapEntry.documentation']","[""['EAnnotation.type_is_classifier', 'EStringToStringMapEntry.name']"", ""['EOperation.type_is_instance', 'EAnnotation.type_is_instance'], ['"", ""['EOperation.type_is_class', 'EAnnotation.type_is_class']]."", ""['EAnnotation.type_is_classifier', 'EStringToStringMapEntry.title']"", ""['EAnnotation.type_is_classifier', 'EStringToStringMapEntry.prefix']"", ""['EOperation.type_is_classifier', 'EAnnotation.type_is_classifier']]."", ""['EAnnotation.type_is_classifier', 'EStringToStringMapEntry.evaluation""]","['EAnnotation.type_is_classifier','EStringToStringMapEntry.documentation']","['EAnnotation.type_is_classifier','EStringToStringMapEntry.name']",EAnnotation.type_is_classifier,False
143,143,143,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']"," 3 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_1u02yd6tEei97MD7GK1RmA', 'key':'documentation','value':'The multiplicity of the InputPins is 1..1.\\nfirst.is(1,1) and second.is(1,1)\\n'}}""

$$",['Add_node'],"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","[""['EAnnotation.multiplicity', 'EStringToStringMapEntry.evaluation"", ""['EAnnotation.multiplicity', 'EOperation.multiplicity']]."", ""['EOperation.multiplicity', 'EAnnotation.value'], ['EOperation"", ""['EAnnotation.multiplicity', 'EStringToStringMapEntry.documentation']"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity.documentation']"", ""['EOperator.multiplicity', 'EAnnotation.multiplicity']]."", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity.documentation']""]","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","['EAnnotation.multiplicity','EAnnotation.multiplicity.documentation']",EAnnotation.multiplicity,False
147,147,147,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.qualifier','EStringToStringMapEntry.documentation'],['EReference.qualifier','EAnnotation.qualifier'],['EReference.qualifier','EAnnotation.qualifier']"," 2 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oBzot6tEei97MD7GK1RmA', 'key':'documentation','value':'An optional list of ordered qualifier attributes for the end. If the list is empty, then the Association is not qualified.\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/2011070'}}""

$$",['Add_node'],"['EAnnotation.qualifier','EStringToStringMapEntry.documentation']","[""['EAnnotation.qualifier', 'EStringToStringMapEntry.name'], ['"", ""['EReference.qualifier', 'EAnnotation.qualifier'], ['ER"", ""['FAnnotation', 'Annotation'], ['EReference', 'Annotation']"", ""['EAnnotation.qualifier', 'EStringToStringMapEntry.category'], ['"", ""['EAnnotation.qualifier', 'EStringToStringMapEntry.name'], ['"", ""['EAnnotation.qualifier', 'EAnnotation.qualifier'], ['ERe"", ""['EAnnotation.qualifier', 'EAnnotation.qualifier']].\n['E""]","['EAnnotation.qualifier','EStringToStringMapEntry.documentation']","['EAnnotation.qualifier','EStringToStringMapEntry.name']",EAnnotation.qualifier,False
148,148,148,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.allow_access','EStringToStringMapEntry.documentation'],['EOperation.allow_access','EAnnotation.allow_access'],['EOperation.allow_access','EAnnotation.allow_access']"," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIH6g96tEei97MD7GK1RmA', 'key':'documentation','value':'The visibility of at least one end must allow access to the class using the action.\\ntrue'}}""

$$",['Add_node'],"['EAnnotation.allow_access','EStringToStringMapEntry.documentation']","[""['EAnnotation.allow_access', 'EStringToStringMapEntry.parameters']]."", ""['EOperation.allow_access', 'EAnnotation.allow_access']].\n[['Car"", ""['EOperation.allow_access', 'EAnnotation.allow_access']].\n['Employee"", ""['EAnnotation.allow_access', 'EAnnotation.allow_access'], ['EAnnotation"", ""['EAnnotation.allow_access', 'EAnnotation.allow_access']].\n\nGenerate missing"", ""['EOperation.allow_access', 'EAnnotation.allow_access']].\n['E"", ""['EAnnotation.allow_access', 'EAnnotation.allow_access']].\n['E""]","['EAnnotation.allow_access','EStringToStringMapEntry.documentation']","['EOperation.allow_access','EAnnotation.allow_access']",EAnnotation.allow_access,False
150,150,150,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.QualifierValue','EStringToStringMapEntry.documentation'],['EClass.QualifierValue','EAnnotation.QualifierValue'],['EClass.QualifierValue','EAnnotation.QualifierValue']"," 1 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oCL4t6tEei97MD7GK1RmA', 'key':'documentation','value':'A qualifier value is not an action. It is an element that identifies links. It gives a single qualifier within a link end data specification.\\n<p>Merged from package UML (URI {@literal http://www.omg.o'}}""

$$",['Add_node'],"['EAnnotation.QualifierValue','EStringToStringMapEntry.documentation']","[""['EAnnotation.QualifierValue', 'EStringToStringMapEntry.event'],"", ""['EClass.QualifierValue', 'EAnnotation.QualifierValue'],['E"", ""['EClass.QualifierValue', 'EClass.QualifierValue']]."", ""['EAnnotation.QualifierValue', 'EStringToLiteralMapEntry.documentation"", ""['EAnnotation.QualifierValue', 'EDataType'], ['EAnnotation.Qual"", ""['EClass.QualifierValue', 'EAnnotation.QualifierValue']]."", ""['EAnnotation.QualifierValue', 'EStringToStringMapEntry.arg']""]","['EAnnotation.QualifierValue','EStringToStringMapEntry.documentation']","['EClass.QualifierValue','EAnnotation.QualifierValue']",EAnnotation.QualifierValue,False
153,153,153,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type','EStringToStringMapEntry.documentation'],['EReference.type','EAnnotation.type'],['EReference.type','EAnnotation.type']"," 1 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oB2LN6tEei97MD7GK1RmA', 'key':'documentation','value':'This information is derived from the return result for this Operation.\\nSpecifies the return result of the operation, if present.\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/2'}}""

$$",['Add_node'],"['EAnnotation.type','EStringToStringMapEntry.documentation']","[""['EAnnotation.type', 'EStringToStringMapEntry.annotation'], ['E"", ""['EReference.type', 'EAnnotation.type'], ['EReference',"", ""['EAnnotation.type', 'EAnnotation.type'], ['EReference.type"", ""['EAnnotation.type', 'EAnnotation.type'], ['EAnnotation.type',"", ""['EAnnotation.type', 'EStringToStringMapEntry.documentation']].\n['"", ""['EAnnotation.type', 'EAnnotation.type'], ['EReference.type"", ""['EAnnotation.type', 'EStringToStringMapEntry.authorship']].""]","['EAnnotation.type','EStringToStringMapEntry.documentation']","['EAnnotation.type','EAnnotation.type']",EAnnotation.type,False
154,154,154,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.Type','EStringToStringMapEntry.documentation'],['EClass.Type','EAnnotation.Type'],['EClass.Type','EAnnotation.Type']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oBvft6tEei97MD7GK1RmA', 'key':'documentation','value':'A type is a named element that is used as the type for a typed element. A type can be contained in a package.\\nA type constrains the values represented by a typed element.\\n<p>Merged from package UML (U'}}""

$$",['Add_node'],"['EAnnotation.Type','EStringToStringMapEntry.documentation']","[""['EAnnotation.Type', 'EAnnotation.Type']].\n['EAnnotation.Document"", ""['EClass.Type', 'EAnnotation.Type'],['EClass.Type', '"", ""['EClass', 'EAnnotation'], ['EClass', 'EAnnotation"", ""['EAnnotation.Type', 'EAnnotation.Type']].\n['EAnnotation.Type"", ""['EAnnotation.Type', 'EObjectToStringMapEntry.documentation']].\n['"", ""['EClass.Type', 'EAnnotation.Type'],['Annotation', 'EAnnotation"", ""['EAnnotation.Type', 'EAnnotation.association'], ['EAnnotation.""]","['EAnnotation.Type','EStringToStringMapEntry.documentation']","['EAnnotation.Type','EAnnotation.Type']",EAnnotation.Type,False
156,156,156,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.LiteralNull','EStringToStringMapEntry.documentation'],['EClass.LiteralNull','EAnnotation.LiteralNull'],['EClass.LiteralNull','EAnnotation.LiteralNull']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_oBpnAt6tEei97MD7GK1RmA', 'key':'documentation','value':'A literal null specifies the lack of a value.'}}""

$$",['Add_node'],"['EAnnotation.LiteralNull','EStringToStringMapEntry.documentation']","[""['EAnnotation.LiteralNull', 'EAnnotation.LiteralNull']]."", ""['EAnnotation.Property', 'EAnnotation.LiteralNull']].\n['E"", ""['EClass.LiteralNone', 'EAnnotation.LiteralNone']]."", ""['EAnnotation.LiteralNull', 'EStringToStringMapEntry.references']"", ""['EAnnotation.LiteralNull', 'EStringToStringMapEntry.value']"", ""['EClass.LiteralNull', 'EAnnotation.LiteralNull']]."", ""['EAnnotation.LiteralNull', 'EAnnotation.LiteralNull']].""]","['EAnnotation.LiteralNull','EStringToStringMapEntry.documentation']","['EAnnotation.LiteralNull','EAnnotation.LiteralNull']",EAnnotation.LiteralNull,False
160,160,160,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.represented','EStringToStringMapEntry.documentation'],['EReference.represented','EAnnotation.represented'],['EReference.represented','EAnnotation.represented']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oCQJd6tEei97MD7GK1RmA', 'key':'documentation','value':'Determines the classifiers that will specify the structure and nature of the information. An information item represents all its represented classifiers.\\n<p>Merged from package UML (URI {@literal http'}}""

$$",['Add_node'],"['EAnnotation.represented','EStringToStringMapEntry.documentation']","[""['EAnnotation.represented', 'EStringToStringMapEntry.relation"", ""['EAnnotation.represented', 'EAnnotation.represented'], ['"", ""['EReference.represented', 'EAnnotation.represented'],['"", ""['EAnnotation.represented', 'EAnnotation.represented']]."", ""['EAnnotation.represented', 'EStringToStringMapEntry.identifier'],"", ""['EAnnotation.represented', 'EAnnotation.represented']]."", ""['EAnnotation.represented', 'EStringToStringMapEntry.name']""]","['EAnnotation.represented','EStringToStringMapEntry.documentation']","['EAnnotation.represented','EAnnotation.represented']",EAnnotation.represented,False
166,166,166,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.toAfter','EStringToStringMapEntry.documentation'],['EReference.toAfter','EAnnotation.toAfter'],['EReference.toAfter','EAnnotation.toAfter']"," 1 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oCF396tEei97MD7GK1RmA', 'key':'documentation','value':'References the GeneralOrderings that specify EventOcurrences that must occur after this OccurrenceSpecification\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/20110701}).</p>'}}""

$$",['Add_node'],"['EAnnotation.toAfter','EStringToStringMapEntry.documentation']","[""['EAnnotation.toBefore', 'EStringToStringMapEntry.documentation']]."", ""['EReference.toAfter', 'EAnnotation.toBefore'].\n['"", ""['EAnnotation.toAfter', 'EReference.toAfter']].\n\nCite"", ""['EAnnotation.toAfter', 'EStringToStringMapEntry.documentation'], ['"", ""['EAnnotation.toBefore', 'EStringToStringMapEntry.documentation']]."", ""['EReference.toBefore', 'EAnnotation.toBefore'], ['ER"", ""['EAnnotation.toBefore', 'EStringToStringMapEntry.documentation']].""]","['EAnnotation.toAfter','EStringToStringMapEntry.documentation']","['EAnnotation.toBefore','EStringToStringMapEntry.documentation']",EAnnotation.toBefore,False
171,171,171,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.Type','EStringToStringMapEntry.documentation'],['EClass.Type','EAnnotation.Type'],['EClass.Type','EAnnotation.Type']"," 3 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_oBpbbd6tEei97MD7GK1RmA', 'key':'documentation','value':'A type is a named element that is used as the type for a typed element. A type can be contained in a package.\\r\\nA type constrains the values represented by a typed element.'}}""

$$",['Add_node'],"['EAnnotation.Type','EStringToStringMapEntry.documentation']","[""['EAnnotation.Type', 'EStringToStringMapEntry.value'], ['E"", ""['EClass', 'EAnnotation'], ['EClass', 'EAnnotation"", ""['Employee', 'EmployeeType'], ['Person', 'PersonType']]."", ""['EAnnotation.Type', 'EStringToStringMapEntry.evaluation']."", ""['EAnnotation.Type', 'EStringToStringMapEntry.name'], ['E"", ""['EClass', 'EAnnotation']].\n['EClass.Type', '"", ""['EAnnotation.Type', 'EAnnotation.Type'], ['EAnnotation.Type',""]","['EAnnotation.Type','EStringToStringMapEntry.documentation']","['EClass','EAnnotation']",EAnnotation.Type,False
181,181,181,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.class_behavior','EStringToStringMapEntry.documentation'],['EOperation.class_behavior','EAnnotation.class_behavior'],['EOperation.class_behavior','EAnnotation.class_behavior']"," 4 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_1u0VFd6tEei97MD7GK1RmA', 'key':'documentation','value':'If a behavior is classifier behavior, it does not have a specification.\\nclassifierBehavior->notEmpty() implies classifierBehavior.specification->isEmpty()'}}""

$$",['Add_node'],"['EAnnotation.class_behavior','EStringToStringMapEntry.documentation']","[""['EAnnotation.class_behavior', 'EStringToStringMapEntry.javadoc']"", ""['EOperation.class_behavior', 'EOperation.class_behavior']].\n['E"", ""['EAnnotation.class_behavior', 'EClass.class_behavior']].\n[['College"", ""['EAnnotation.class_behavior', 'EStringToStringMapEntry.class_name']"", ""['EAnnotation.class_behavior', 'EStringToStringMapEntry.text']]."", ""['EOperation.class_behavior', 'EAnnotation.class_behavior']].\n['E"", ""['EAnnotation.class_any', 'EAnnotation.class_behavior']].\n['E""]","['EAnnotation.class_behavior','EStringToStringMapEntry.documentation']","['EAnnotation.class_behavior','EStringToStringMapEntry.javadoc']",EAnnotation.class_behavior,False
184,184,184,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EClass.Extension','EOperation.getStereotype']"," 1 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOperations'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EOperation', 'attributes': {'id': '_lU7gFt6tEei97MD7GK1RmA', 'name':'getStereotypeEnd','ordered':'false','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Property','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@601a1733 (expression: Property)','eContainingClass':'Extension'}}""

$$",['Add_node'],"['EClass.Extension','EOperation.getStereotypeEnd']","[""['EClass.Extension', 'EClass.extension','EClass.Extension', '""]","['EClass.Extension','EOperation.getStereotypeEnd']",,,False
