,Unnamed: 0,id,source,prompt,completion,completion_type,chaaben_completion,new_node_gt,anchor_node_gt,completion_string,simplified_gt_association,simplified_gen_association,simplified_concept_ranked,same_association,same_concept,class_names_gt,names_gt,class_names_gen,names_gen,same_class,same_name,simplified_correct
31,31,31,experiment_samples/modeling.sirius!!plugins_org.eclipse.sirius_model_viewpoint.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'upperBound', 'valueBefore': '1', 'valueAfter': '4'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
32,32,32,experiment_samples/modeling.sirius!!plugins_org.eclipse.sirius_model_viewpoint.ecore/test_samples.jsonl,," 3 0 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eClassifiers'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EPackage', 'attributes': {'id': '_fmIXUN6vEei97MD7GK1RmA', 'name':'description','nsURI':'http://www.eclipse.org/sirius/description/1.1.0','nsPrefix':'description','eFactoryInstance':'org.eclipse.emf.ecore.impl.EFactoryImpl@15658306','eClassifiers':['Group','Component','Viewpoint','FeatureExtensionDescription','RepresentationDescription','RepresentationTemplate','RepresentationImportDescription','RepresentationExtensionDescription','MetamodelExtensionSetting','...'],'eSubpackages':['style','tool','validation','audit'],'eSuperPackage':'viewpoint'}}"" _

$$",['Remove_node'],,,,,,,,,,,,,,,,
33,33,33,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
34,34,34,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,," 1 4 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],,,,,,,,,,,,,,,,
35,35,35,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.def'],['EClass.AuditedMetricTarget','EAnnotation.AuditedMetricTarget']"," 1 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_bLm8jd6tEei97MD7GK1RmA', 'key':'ocl','value':''ecore::EDoubleObject''}}""

$$",['Add_node'],"['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.ocl']",EStringToStringMapEntry.ocl,EAnnotation.AuditedMetricTarget,"[""['EAnnotation.AuditedMetricTarget', 'EStringToStringMapEntry']].\n['EAnnotation"", ""['EClass.AuditedMetricTarget', 'EAnnotation.AuditedMetricTarget']]\n['E"", ""['EAnnotation.AuditedMetricTarget', 'EStringToStringMapEntry.value'], ['EAnnotation""]","['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry.ocl']","['EAnnotation.AuditedMetricTarget','EStringToStringMapEntry']",EStringToStringMapEntry,False,False,EStringToStringMapEntry,ocl,EStringToStringMapEntry,,True,False,False
36,36,36,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore/test_samples.jsonl,"['EAnnotation.element','EStringToStringMapEntry.description'],['EReference.element','EAnnotation.element']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_bLm8bN6tEei97MD7GK1RmA', 'key':'ocl','value':'element.oclIsKindOf(notation::View)'}}""

$$",['Add_node'],"['EAnnotation.element','EStringToStringMapEntry.ocl']",EStringToStringMapEntry.ocl,EAnnotation.element,"[""['EAnnotation.element', 'EStringToStringMapEntry.name']].\n[['person', 'writing']"", ""['EReference.element', 'EReference.element'], ['EReference.element', 'ER"", ""['EAnnotation.element', 'EStringToStringMapEntry.description'],['EAnnotation.element', 'EString""]","['EAnnotation.element','EStringToStringMapEntry.ocl']","['EAnnotation.element','EStringToStringMapEntry.name']",EReference.element,False,False,EStringToStringMapEntry,ocl,EReference,element,False,False,False
37,37,37,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtbase_model_QVTbase.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_CXsq2N6vEei97MD7GK1RmA', 'key':'body','value':'overriden'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
38,38,38,experiment_samples/modeling.emft.emf-client!!bundles_org.eclipse.emf.ecp.view.custom.model_model_custom.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ _

$$",['Add_node'],,,,,,,,,,,,,,,,
39,39,39,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_ImperativeOCL.ecore/test_samples.jsonl,," 1 4 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],,,,,,,,,,,,,,,,
40,40,40,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_model.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_YQ_iEN60Eei97MD7GK1RmA', 'name':'decorators','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'Decorator','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7415cc5a (expression: Decorator)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Graph','containment':'true','container':'false','resolveProxies':'false','eOpposite':'graph','eReferenceType':'Decorator'}}""

$$",['Add_edge'],,,,,,,,,,,,,,,,
41,41,41,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_model.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_YQ_iEN60Eei97MD7GK1RmA', 'name':'decorators','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'Decorator','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@4b3ed1ce (expression: Decorator)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Graph','containment':'true','container':'false','resolveProxies':'false','eOpposite':'graph','eReferenceType':'Decorator'}}""

$$",['Add_edge'],,,,,,,,,,,,,,,,
42,42,42,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_model.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_YQ_iEN60Eei97MD7GK1RmA', 'name':'decorators','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'Decorator','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@307347e9 (expression: Decorator)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Graph','containment':'true','container':'false','resolveProxies':'false','eOpposite':'graph','eReferenceType':'Decorator'}}""

$$",['Add_edge'],,,,,,,,,,,,,,,,
43,43,43,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.ecore.change_model_Change.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOperations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_ZQn1L96tEei97MD7GK1RmA', 'name':'FeatureChange','ePackage':'change','abstract':'false','interface':'false','eOperations':['apply','applyAndReverse','reverse'],'eStructuralFeatures':['featureName','dataValue','set','value','feature','referenceValue','listChanges']}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
44,44,44,experiment_samples/modeling.mdt.papyrus!!plugins_infra_core_org.eclipse.papyrus.infra.core.architecture_model_Architecture.ecore/test_samples.jsonl,," 3 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EAttribute', 'attributes': {'id': '_fWEwdN6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@26cac016 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'name','ordered':'true','unique':'true','lowerBound':'1','upperBound':'1','many':'false','required':'true','eType':'EString','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@6533eb56 (expression: EString)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'ADElement','iD':'false','eAttributeType':'EString'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
45,45,45,experiment_samples/modeling.mdt.papyrus!!plugins_infra_core_org.eclipse.papyrus.infra.core.architecture_model_Architecture.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_fWEwc96tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@12af71f9 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'ADElement','ePackage':'architecture','abstract':'true','interface':'false','eStructuralFeatures':['id','name','description','qualifiedName','icon']}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
46,46,46,experiment_samples/modeling.mdt.bpmn2!!org.eclipse.bpmn2_model_BPMN20.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
47,47,47,experiment_samples/modeling.mdt.bpmn2!!org.eclipse.bpmn2_model_BPMN20.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EEnum', 'attributes': {'id': '_c651St6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@67993604 (source: http:///org/eclipse/emf/ecore/util/ExtendedMetaData)'],'name':'GatewayDirection','defaultValue':'Unspecified','ePackage':'bpmn2','serializable':'true','eLiterals':['Unspecified','Converging','Diverging','Mixed']}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
48,48,48,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.ecore_model_XMLType.ecore/test_samples.jsonl,," 2 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZgL7ld6tEei97MD7GK1RmA', 'key':'baseType','value':'anySimpleType'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
49,49,49,experiment_samples/modeling.eef!!plugins_org.eclipse.emf.eef.modelingbot_model_mbot.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EAttribute', 'attributes': {'id': '_YDbpwN6tEei97MD7GK1RmA', 'name':'rootURI','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EString','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@3de93e10 (expression: EString)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'CreateModel','iD':'false','eAttributeType':'EString'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
50,50,50,experiment_samples/birt!!chart_org.eclipse.birt.chart.engine_src_model_org.eclipse.birt.chart.model.type.ecore/test_samples.jsonl,," 3 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],,,,,,,,,,,,,,,,
51,51,51,experiment_samples/birt!!chart_org.eclipse.birt.chart.engine_src_model_org.eclipse.birt.chart.model.type.ecore/test_samples.jsonl,," 1 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_I-pb9d6tEei97MD7GK1RmA', 'key':'documentation','value':'\\r\\nSpecifies the attributes for the outline used to represent this series.'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
52,52,52,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'lowerBound', 'valueBefore': '0', 'valueAfter': '1'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
53,53,53,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': 'QVTOperational.ContextualProperty.context', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@2af6a005 (source: http://schema.omg.org/spec/MOF/2.0/emof.xml#Property.oppositeRoleName)'],'name':'context','ordered':'true','unique':'true','lowerBound':'1','upperBound':'1','many':'false','required':'true','eType':'Class','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@4f93976 (expression: Class)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'ContextualProperty','containment':'false','container':'false','resolveProxies':'true','eReferenceType':'Class'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
54,54,54,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': 'EMOF.Tag.element', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@383e215 (source: http://schema.omg.org/spec/MOF/2.0/emof.xml#Property.oppositeRoleName)'],'name':'element','ordered':'false','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'Element','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@53390991 (expression: Element)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Tag','containment':'false','container':'false','resolveProxies':'true','eReferenceType':'Element'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
55,55,55,experiment_samples/science.eavp!!org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore/test_samples.jsonl,"['EClass.ColorOption','EAnnotation.ColorOption']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_huJJqN6vEei97MD7GK1RmA', 'key':'documentation','value':'An option which will set the mesh's color. '}}""

$$",['Add_node'],"['EAnnotation.ColorOption','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.ColorOption,"[""['EClass.ColorOption', 'EAnnotation.ColorOption'],\n['EClass.ColorOption', 'E""]","['EAnnotation.ColorOption','EStringToStringMapEntry.documentation']","['EClass.ColorOption','EAnnotation.ColorOption']",EClass.ColorOption,False,False,EStringToStringMapEntry,documentation,EClass,ColorOption,False,False,False
56,56,56,experiment_samples/technology.cbi!!org.eclipse.b3.aggregator.legacy_models_aggregator_1.1.0.ecore/test_samples.jsonl,," 4 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOperations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_XGv3Vt6wEei97MD7GK1RmA', 'name':'MappedRepository','ePackage':'aggregator','abstract':'false','interface':'false','eOperations':['getMapRules','getUnits','isMapExclusive'],'eStructuralFeatures':['products','bundles','features','categories','mirrorArtifacts','categoryPrefix','mapRules'],'eGenericSuperTypes':['org.eclipse.emf.ecore.impl.EGenericTypeImpl@4121fb7c (expression: MetadataRepositoryReference)','org.eclipse.emf.ecore.impl.EGenericTypeImpl@26e277e5 (expression: DescriptionProvider)','org.eclipse.emf.ecore.impl.EGenericTypeImpl@1a24059 (expression: IdentificationProvider)']}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
57,57,57,experiment_samples/modeling.mmt.atl!!deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unique', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
58,58,58,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtcore_model_QVTcore.ecore/test_samples.jsonl,"['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit']"," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Jqtlxd6vEei97MD7GK1RmA', 'key':'body','value':'\\n\\tgetReferredTargetProperty().isImplicit\\n\\t\\n'}}""

$$",['Add_node'],"['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body']",EStringToStringMapEntry.body,EAnnotation.validateOppositePropertyIsImplicit,"[""'EStringToStringMapEntry.data']. [‘EAnnotation.validateOppositePropertyIsImplicit’, ‘"", ""['EOperation.validateOppositePropertyIsExplicit', 'EAnnotation.validateOppositePropertyIsExplicit']"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EOperation.validateOppositePropertyIsImplicit']"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EAnnotation.validatePropertyIsOpposite']]."", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EStringToStringMapEntry.name'], ['E"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EAnnotation.validateOppositePropertyIsImplicit']"", ""['EAnnotation.validateOppositePropertyIsImplicit', 'EStringToStringMapEntry.value']].\n['""]","['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body']",'EStringToStringMapEntry.data'],EOperation.validateOppositePropertyIsExplicit,False,False,EStringToStringMapEntry,body,EOperation,validateOppositePropertyIsExplicit,False,False,False
59,59,59,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': 'ImperativeOCL.RaiseExp.argument', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@194012a2 (source: http://schema.omg.org/spec/MOF/2.0/emof.xml#Property.oppositeRoleName)'],'name':'argument','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'OclExpression','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2f0ccb34 (expression: OclExpression)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'RaiseExp','containment':'true','container':'false','resolveProxies':'false','eReferenceType':'OclExpression'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
60,60,60,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore/test_samples.jsonl,," 4 2 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_c1gmit6vEei97MD7GK1RmA', 'key':'body','value':'elementOwner'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
61,61,61,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': 'ImperativeOCL.Typedef.condition', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@279126f5 (source: http://schema.omg.org/spec/MOF/2.0/emof.xml#Property.oppositeRoleName)'],'name':'condition','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'OclExpression','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@5396eeb1 (expression: OclExpression)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Typedef','containment':'true','container':'false','resolveProxies':'false','eReferenceType':'OclExpression'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
62,62,62,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.tooldef_models_tooldef.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EAttribute', 'attributes': {'id': '_cSK6496tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@4c133163 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'bundle','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EString','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2ee74ea0 (expression: EString)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'BundleImage','iD':'false','eAttributeType':'EString'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
63,63,63,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.xtext.qvtrelation_model_QVTrelationCS.ecore/test_samples.jsonl,"['EClass.TemplateCS','EReference.guardExpression']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_Z580Y96vEei97MD7GK1RmA', 'name':'ownedGuardExpression','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'ExpCS','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2f6460b9 (expression: ExpCS)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'TemplateCS','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'ExpCS'}}""

$$",['Add_node'],"['EClass.TemplateCS','EReference.ownedGuardExpression']",EReference.ownedGuardExpression,EClass.TemplateCS,"[""['EClass.TemplateCS', 'EReference.guardExpression']].\n[['Person', 'Name'],""]","['EClass.TemplateCS','EReference.ownedGuardExpression']","['EClass.TemplateCS','EReference.guardExpression']",EReference.guardExpression,False,False,EReference,ownedGuardExpression,EReference,guardExpression,True,False,False
64,64,64,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_fZDzwN6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@6bdb5edc (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'context','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EMap','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@22ba1419 (expression: EMap<EJavaObject, EJavaObject>)','eOperation':'visibility_needs_ownership'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
65,65,65,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_fZD2L96tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@4bf18234 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'context','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EMap','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7864adad (expression: EMap<EJavaObject, EJavaObject>)','eOperation':'only_body_for_query'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
66,66,66,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_fZDzEt6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@3830269b (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'context','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EMap','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@25ae530e (expression: EMap<EJavaObject, EJavaObject>)','eOperation':'specialize_type'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
67,67,67,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_fZDz696tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@6203d3b4 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'context','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EMap','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@76ccd237 (expression: EMap<EJavaObject, EJavaObject>)','eOperation':'not_own_self'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
