Unnamed: 0,id,source,prompt,completion,completion_type
148,148,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.allow_access','EStringToStringMapEntry.documentation'],['EOperation.allow_access','EAnnotation.allow_access'],['EOperation.allow_access','EAnnotation.allow_access']","['EAnnotation.allow_access','EStringToStringMapEntry.documentation']",['Add_node']
149,149,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
150,150,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.QualifierValue','EStringToStringMapEntry.documentation'],['EClass.QualifierValue','EAnnotation.QualifierValue'],['EClass.QualifierValue','EAnnotation.QualifierValue']","['EAnnotation.QualifierValue','EStringToStringMapEntry.documentation']",['Add_node']
151,151,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
152,152,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
153,153,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type','EStringToStringMapEntry.documentation'],['EReference.type','EAnnotation.type'],['EReference.type','EAnnotation.type']","['EAnnotation.type','EStringToStringMapEntry.documentation']",['Add_node']
154,154,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.Type','EStringToStringMapEntry.documentation'],['EClass.Type','EAnnotation.Type'],['EClass.Type','EAnnotation.Type']","['EAnnotation.Type','EStringToStringMapEntry.documentation']",['Add_node']
155,155,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
156,156,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.LiteralNull','EStringToStringMapEntry.documentation'],['EClass.LiteralNull','EAnnotation.LiteralNull'],['EClass.LiteralNull','EAnnotation.LiteralNull']","['EAnnotation.LiteralNull','EStringToStringMapEntry.documentation']",['Add_node']
157,157,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
158,158,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
159,159,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
160,160,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.represented','EStringToStringMapEntry.documentation'],['EReference.represented','EAnnotation.represented'],['EReference.represented','EAnnotation.represented']","['EAnnotation.represented','EStringToStringMapEntry.documentation']",['Add_node']
161,161,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
162,162,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
163,163,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
164,164,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
165,165,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
166,166,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.toAfter','EStringToStringMapEntry.documentation'],['EReference.toAfter','EAnnotation.toAfter'],['EReference.toAfter','EAnnotation.toAfter']","['EAnnotation.toAfter','EStringToStringMapEntry.documentation']",['Add_node']
167,167,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
168,168,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
169,169,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
170,170,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
171,171,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.Type','EStringToStringMapEntry.documentation'],['EClass.Type','EAnnotation.Type'],['EClass.Type','EAnnotation.Type']","['EAnnotation.Type','EStringToStringMapEntry.documentation']",['Add_node']
172,172,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
173,173,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
174,174,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
175,175,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
176,176,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
177,177,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
178,178,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
179,179,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
180,180,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
181,181,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.class_behavior','EStringToStringMapEntry.documentation'],['EOperation.class_behavior','EAnnotation.class_behavior'],['EOperation.class_behavior','EAnnotation.class_behavior']","['EAnnotation.class_behavior','EStringToStringMapEntry.documentation']",['Add_node']
182,182,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
183,183,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
184,184,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EClass.Extension','EOperation.getStereotype']","['EClass.Extension','EOperation.getStereotypeEnd']",['Add_node']
185,185,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
186,186,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
187,187,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
188,188,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
189,189,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.second','EStringToStringMapEntry.documentation'],['EReference.second','EAnnotation.second'],['EReference.second','EAnnotation.second']","['EAnnotation.second','EStringToStringMapEntry.documentation']",['Add_node']
190,190,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
191,191,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
192,192,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
193,193,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
194,194,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
195,195,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.end_object_input_pin','EStringToStringMapEntry.documentation'],['EOperation.end_object_input_pin','EAnnotation.end_object_input_pin'],['EOperation.end_object_input_pin','EAnnotation.end_object_input_pin']","['EAnnotation.end_object_input_pin','EStringToStringMapEntry.documentation']",['Add_node']
196,196,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
197,197,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
198,198,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
199,199,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
200,200,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
201,201,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
202,202,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
203,203,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
204,204,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
205,205,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
206,206,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
207,207,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
208,208,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
209,209,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.association_ends','EStringToStringMapEntry.documentation'],['EOperation.association_ends','EAnnotation.association_ends'],['EOperation.association_ends','EAnnotation.association_ends']","['EAnnotation.association_ends','EStringToStringMapEntry.documentation']",['Add_node']
210,210,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
211,211,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
212,212,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.binary_associations','EStringToStringMapEntry.documentation'],['EOperation.binary_associations','EAnnotation.binary_associations'],['EOperation.binary_associations','EAnnotation.binary_associations']","['EAnnotation.binary_associations','EStringToStringMapEntry.documentation']",['Add_node']
213,213,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
214,214,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.result','EStringToStringMapEntry.documentation'],['EReference.result','EAnnotation.result'],['EReference.result','EAnnotation.result']","['EAnnotation.result','EStringToStringMapEntry.documentation']",['Add_node']
215,215,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
216,216,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
217,217,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Remove_node']
218,218,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
219,219,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,,,['Add_node']
220,220,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.substitutingClassifier','EStringToStringMapEntry.documentation'],['EReference.substitutingClassifier','EAnnotation.substitutingClassifier'],['EReference.substitutingClassifier','EAnnotation.substitutingClassifier']","['EAnnotation.substitutingClassifier','EStringToStringMapEntry.documentation']",['Add_node']
