Unnamed: 0,id,source,prompt,completion,completion_type,completion_generated
47,47,experiment_samples/modeling.mdt.bpmn2!!org.eclipse.bpmn2_model_BPMN20.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EEnum', 'attributes': {'id': '_c651St6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@67993604 (source: http:///org/eclipse/emf/ecore/util/ExtendedMetaData)'],'name':'GatewayDirection','defaultValue':'Unspecified','ePackage':'bpmn2','serializable':'true','eLiterals':['Unspecified','Converging','Diverging','Mixed']}}"" _

$$",['Add_node'],
48,48,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.ecore_model_XMLType.ecore/test_samples.jsonl,," 2 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZgL7ld6tEei97MD7GK1RmA', 'key':'baseType','value':'anySimpleType'}}""

$$",['Remove_node'],
49,49,experiment_samples/modeling.eef!!plugins_org.eclipse.emf.eef.modelingbot_model_mbot.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EAttribute', 'attributes': {'id': '_YDbpwN6tEei97MD7GK1RmA', 'name':'rootURI','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EString','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@3de93e10 (expression: EString)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'CreateModel','iD':'false','eAttributeType':'EString'}}""

$$",['Remove_node'],
50,50,experiment_samples/birt!!chart_org.eclipse.birt.chart.engine_src_model_org.eclipse.birt.chart.model.type.ecore/test_samples.jsonl,," 3 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],
51,51,experiment_samples/birt!!chart_org.eclipse.birt.chart.engine_src_model_org.eclipse.birt.chart.model.type.ecore/test_samples.jsonl,," 1 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_I-pb9d6tEei97MD7GK1RmA', 'key':'documentation','value':'\\r\\nSpecifies the attributes for the outline used to represent this series.'}}""

$$",['Remove_node'],
52,52,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'lowerBound', 'valueBefore': '0', 'valueAfter': '1'}""

$$",['Change_attribute'],
53,53,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': 'QVTOperational.ContextualProperty.context', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@2af6a005 (source: http://schema.omg.org/spec/MOF/2.0/emof.xml#Property.oppositeRoleName)'],'name':'context','ordered':'true','unique':'true','lowerBound':'1','upperBound':'1','many':'false','required':'true','eType':'Class','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@4f93976 (expression: Class)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'ContextualProperty','containment':'false','container':'false','resolveProxies':'true','eReferenceType':'Class'}}"" _

$$",['Add_node'],
54,54,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': 'EMOF.Tag.element', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@383e215 (source: http://schema.omg.org/spec/MOF/2.0/emof.xml#Property.oppositeRoleName)'],'name':'element','ordered':'false','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'Element','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@53390991 (expression: Element)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Tag','containment':'false','container':'false','resolveProxies':'true','eReferenceType':'Element'}}"" _

$$",['Add_node'],
55,55,experiment_samples/science.eavp!!org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore/test_samples.jsonl,"['EClass.ColorOption','EAnnotation.ColorOption']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_huJJqN6vEei97MD7GK1RmA', 'key':'documentation','value':'An option which will set the mesh's color. '}}""

$$",['Add_node'],
56,56,experiment_samples/technology.cbi!!org.eclipse.b3.aggregator.legacy_models_aggregator_1.1.0.ecore/test_samples.jsonl,," 4 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOperations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EClass', 'attributes': {'id': '_XGv3Vt6wEei97MD7GK1RmA', 'name':'MappedRepository','ePackage':'aggregator','abstract':'false','interface':'false','eOperations':['getMapRules','getUnits','isMapExclusive'],'eStructuralFeatures':['products','bundles','features','categories','mirrorArtifacts','categoryPrefix','mapRules'],'eGenericSuperTypes':['org.eclipse.emf.ecore.impl.EGenericTypeImpl@4121fb7c (expression: MetadataRepositoryReference)','org.eclipse.emf.ecore.impl.EGenericTypeImpl@26e277e5 (expression: DescriptionProvider)','org.eclipse.emf.ecore.impl.EGenericTypeImpl@1a24059 (expression: IdentificationProvider)']}}"" _

$$",['Add_node'],
57,57,experiment_samples/modeling.mmt.atl!!deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unique', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
58,58,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtcore_model_QVTcore.ecore/test_samples.jsonl,"['EAnnotation.validateOppositePropertyIsImplicit','EStringToStringMapEntry.body'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit'],['EOperation.validateOppositePropertyIsImplicit','EAnnotation.validateOppositePropertyIsImplicit']"," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Jqtlxd6vEei97MD7GK1RmA', 'key':'body','value':'\\n\\tgetReferredTargetProperty().isImplicit\\n\\t\\n'}}""

$$",['Add_node'],
59,59,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': 'ImperativeOCL.RaiseExp.argument', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@194012a2 (source: http://schema.omg.org/spec/MOF/2.0/emof.xml#Property.oppositeRoleName)'],'name':'argument','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'OclExpression','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2f0ccb34 (expression: OclExpression)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'RaiseExp','containment':'true','container':'false','resolveProxies':'false','eReferenceType':'OclExpression'}}"" _

$$",['Add_node'],
60,60,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore/test_samples.jsonl,," 4 2 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_c1gmit6vEei97MD7GK1RmA', 'key':'body','value':'elementOwner'}}""

$$",['Remove_node'],
61,61,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': 'ImperativeOCL.Typedef.condition', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@279126f5 (source: http://schema.omg.org/spec/MOF/2.0/emof.xml#Property.oppositeRoleName)'],'name':'condition','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'OclExpression','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@5396eeb1 (expression: OclExpression)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Typedef','containment':'true','container':'false','resolveProxies':'false','eReferenceType':'OclExpression'}}"" _

$$",['Add_node'],
62,62,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.tooldef_models_tooldef.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EAttribute', 'attributes': {'id': '_cSK6496tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@4c133163 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'bundle','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EString','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2ee74ea0 (expression: EString)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'BundleImage','iD':'false','eAttributeType':'EString'}}"" _

$$",['Add_node'],
63,63,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.xtext.qvtrelation_model_QVTrelationCS.ecore/test_samples.jsonl,"['EClass.TemplateCS','EReference.guardExpression']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_Z580Y96vEei97MD7GK1RmA', 'name':'ownedGuardExpression','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'ExpCS','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2f6460b9 (expression: ExpCS)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'TemplateCS','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'ExpCS'}}""

$$",['Add_node'],
64,64,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_fZDzwN6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@6bdb5edc (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'context','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EMap','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@22ba1419 (expression: EMap<EJavaObject, EJavaObject>)','eOperation':'visibility_needs_ownership'}}"" _

$$",['Add_node'],
65,65,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_fZD2L96tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@4bf18234 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'context','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EMap','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7864adad (expression: EMap<EJavaObject, EJavaObject>)','eOperation':'only_body_for_query'}}"" _

$$",['Add_node'],
66,66,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_fZDzEt6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@3830269b (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'context','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EMap','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@25ae530e (expression: EMap<EJavaObject, EJavaObject>)','eOperation':'specialize_type'}}"" _

$$",['Add_node'],
67,67,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_fZDz696tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@6203d3b4 (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'context','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EMap','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@76ccd237 (expression: EMap<EJavaObject, EJavaObject>)','eOperation':'not_own_self'}}"" _

$$",['Add_node'],
68,68,experiment_samples/modeling.emft.edapt!!plugins_org.eclipse.emf.edapt.declaration_model_declaration.ecore/test_samples.jsonl,"['EAttribute.breaking','EAnnotation.breaking'],['EClass.Operation','EAttribute.breaking']"," 1 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZqYZO96tEei97MD7GK1RmA', 'key':'documentation','value':'Whether this operation may cause existing models to need migration. '}}""

$$",['Add_node'],
69,69,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_graph.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_XMyS0960Eei97MD7GK1RmA', 'name':'labelsToUpdate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'DynamicLabel','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7e70c48a (expression: DynamicLabel)','changeable':'true','volatile':'false','transient':'true','unsettable':'false','derived':'false','eContainingClass':'Decorator','containment':'false','container':'false','resolveProxies':'false','eOpposite':'decorator','eReferenceType':'DynamicLabel'}}""

$$",['Add_edge'],
70,70,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_graph.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_XMyS0960Eei97MD7GK1RmA', 'name':'labelsToUpdate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'DynamicLabel','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@486e96ec (expression: DynamicLabel)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Decorator','containment':'false','container':'false','resolveProxies':'true','eOpposite':'decorator','eReferenceType':'DynamicLabel'}}""

$$",['Add_edge'],
71,71,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_graph.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_XMyS0960Eei97MD7GK1RmA', 'name':'labelsToUpdate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'DynamicLabel','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@453fdb8c (expression: DynamicLabel)','changeable':'true','volatile':'false','transient':'true','unsettable':'false','derived':'false','eContainingClass':'Decorator','containment':'false','container':'false','resolveProxies':'false','eOpposite':'decorator','eReferenceType':'DynamicLabel'}}""

$$",['Add_edge'],
72,72,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'defaultValueLiteral', 'valueBefore': 'null', 'valueAfter': 'true'}""

$$",['Change_attribute'],
73,73,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unsettable', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
74,74,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
75,75,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
76,76,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
77,77,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'derived', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
78,78,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
79,79,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unsettable', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
80,80,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'derived', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
81,81,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'defaultValueLiteral', 'valueBefore': 'null', 'valueAfter': 'seq'}""

$$",['Change_attribute'],
82,82,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
83,83,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
84,84,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
85,85,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'defaultValueLiteral', 'valueBefore': 'null', 'valueAfter': 'iterative'}""

$$",['Change_attribute'],
86,86,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
87,87,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EParameter', 'attributeName': 'unique', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
88,88,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
89,89,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unsettable', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
90,90,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
91,91,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
92,92,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
93,93,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
94,94,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'defaultValueLiteral', 'valueBefore': 'null', 'valueAfter': 'unknown'}""

$$",['Change_attribute'],
95,95,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unsettable', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
96,96,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],
97,97,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 4 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],
98,98,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 3 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],
99,99,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 4 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_07R9ot6tEei97MD7GK1RmA', 'key':'documentation','value':'Provides input to the action.\\n<p>From package UML (URI {@literal http://www.omg.org/spec/UML/20110701}).</p>'}}""

$$",['Remove_node'],
