,Unnamed: 0,id,source,prompt,ramc_completion,completion_type,completion,new_node_gt,anchor_node_gt,completion_string,simplified_gt_association,simplified_gen_association,simplified_concept_ranked,same_association,same_concept,class_names_gt,names_gt,class_names_gen,names_gen,same_class_name,same_name
105,105,105,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation'],['EOperation.type_and_ordering','EAnnotation.type_and_ordering'],['EOperation.type_and_ordering','EAnnotation.type_and_ordering']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_2Y__6t6tEei97MD7GK1RmA', 'key':'documentation','value':'The type and ordering of the result OutputPin are the same as the type and ordering of the variable.\\nresult.type =variable.type and \\nresult.isOrdered = variable.isOrdered'}}""

$$",['Add_node'],"['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.type_and_ordering,"[""['EAnnotation.type_and_ordering', 'EStringToStringMapEntry.type']].\n[['EAnnotation"", ""['EAnnotation.type_and_ordering', 'EAnnotation.type_and_ordering']].\n['EAnnotation"", ""['EOperation.type_and_ordering',\n'EAnnotation.type_and_ordering'], ['EOperation.type_,"", ""['EAnnotation.type_and_ordering', 'EStringToStringMapEntry.content'], ['EAnnotation.type"", ""['EAnnotation.type_and_ordering', 'EStringToStringMapEntry.documentation']].\n[['Person',"", ""['EOperation.type_and_ordering', 'EAnnotation.type_and_ordering']].\n['EAnnotation"", ""['EAnnotation.type_and_ordering', 'EAnnotation.type_and_ordering']].\n[['NaturalPerson""]","['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation']","['EAnnotation.type_and_ordering','EAnnotation.type_and_ordering']",EAnnotation.type_and_ordering,False,False,EStringToStringMapEntry,documentation,EAnnotation,type_and_ordering,False,False
106,106,106,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation'],['EReference.ownedParameter','EAnnotation.ownedParameter'],['EReference.ownedParameter','EAnnotation.ownedParameter']"," 2 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIGjjN6tEei97MD7GK1RmA', 'key':'documentation','value':'References a list of parameters to the behavior which describes the order and type of arguments that can be given when the behavior is invoked and of the values which will be returned when the behavio'}}""

$$",['Add_node'],"['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.ownedParameter,"[""['EAnnotation.ownAnnotation', 'EStringToStringMapEntry.documentation'], ['EAnnotation.own"", ""['EReference.ownedAnnotation', 'EAnnotation.ownedAnnotation']].\n['EAnnotation."", ""['EReference.ownElement', 'EAnnotation.ownElement']].\n['EReference"", ""['EAnnotation.ownedParameter', 'EAnnotation.ownedParameter']].\n['EAnnotation.owned"", ""['EAnnotation.ownedParameter', 'EAnnotation.ownedParameter']].\n['EAnnotation.owned"", ""['EReference.owningParameter', 'EAnnotation.owningParameter']].\n\nCreate reverse"", ""['EAnnotation.ownedParameter', 'EStringToStringMapEntry.text']].\n['EAnnotation.""]","['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation']","['EAnnotation.ownedParameter','EAnnotation.ownedParameter']",EAnnotation.ownedParameter,False,False,EStringToStringMapEntry,documentation,EAnnotation,ownedParameter,False,False
110,110,110,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']"," 3 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIHKwd6tEei97MD7GK1RmA', 'key':'documentation','value':'The multiplicity of ExtensionEnd is 0..1 or 1.\\n(self->lowerBound() = 0 or self->lowerBound() = 1) and self->upperBound() = 1'}}""

$$",['Add_node'],"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.multiplicity,"[""['EmailAddress.multiplicity', 'EStringToStringMapEntry.documentation'],\n['EmailAddress.multip"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity']].\n[['Car', 'Vehicle"", ""['EOperation', 'Annotation']].\n['EOperation.multiplicity', 'EAnnotation.multip"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity.documentation']].\n['EAnnotation.m"", ""['EAnnotation.multiplicity', 'EStringToStringMapEntry.documentation']].\n['EAnnotation.m"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity'].\n\nInput:\n\nThe input is"", ""['EAnnotation.multiplicity', 'EStringToStringMapEntry.example'].\n['EAnnotation.parameters""]","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","['EAnnotation.multiplicity','EAnnotation.multiplicity']",EAnnotation.multiplicity,False,False,EStringToStringMapEntry,documentation,EAnnotation,multiplicity,False,False
115,115,115,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation'],['EReference.realizingClassifier','EAnnotation.realizingClassifier'],['EReference.realizingClassifier','EAnnotation.realizingClassifier']"," 2 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oCKXd6tEei97MD7GK1RmA', 'key':'documentation','value':'The classifiers that are involved in the implementation of the Component that owns this Realization.\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/20110701}).</p>'}}""

$$",['Add_node'],"['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.realizingClassifier,"[""['EAnnotation.realizingClassifier', 'EAnnotation.realizingClassifier']].\n\nThere are 4 ways"", ""['EReference.realizingClassifier', 'EAnnotation.realizingClassifier']].\n[['Person', '"", ""['EAnnotation.realizingClassifier', 'EAnnotation.realizingClassifier']].\n['EAnnotation.realizing"", ""['EAnnotation.associatedClassifier', 'EStringToStringMapEntry.documentation']].\n['EAnnotation.real"", ""['EAnnotation.realizingClassifier', 'EStringToStringMapEntry.value'], ['EAnnotation.realizing"", ""['EReference.realizingClassifier', 'EAnnotation.realizingClassifier']].\n[['Family', '"", ""['EAnnotation.realizingClassifier', 'EAnnotation.realizingClassifier']].\n['EAnnotation.deprecated""]","['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation']","['EAnnotation.realizingClassifier','EAnnotation.realizingClassifier']",EAnnotation.realizingClassifier,False,False,EStringToStringMapEntry,documentation,EAnnotation,realizingClassifier,False,False
117,117,117,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.result','EStringToStringMapEntry.documentation'],['EReference.result','EAnnotation.result'],['EReference.result','EAnnotation.result']"," 1 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIIBut6tEei97MD7GK1RmA', 'key':'documentation','value':'The pin on which are put the objects participating in the association at the end not specified by the inputs.'}}""

$$",['Add_node'],"['EAnnotation.result','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.result,"[""['EAnnotation.result', 'EAnnotation.result'], ['EAnnotation.result', 'EAnnotation.result']"", ""['EReference.result', 'EAnnotation.value'], ['EReference.result', 'EAnnotation"", ""['EAnnotation.result', 'EAnnotation.result'], ['EAnnotation.result', 'EAnnotation.result']"", ""['EAnnotation.result', 'EStringToStringMapEntry.identifier'], ['EAnnotation.result', 'E"", ""['EAnnotation.result', 'EStringToStringMapEntry[0].documentation']].\n['EAnnotation"", ""['EReference.result', 'EAnnotation.result']].\n['EReference.result', 'E"", ""['EAnnotation.result', 'EAnnotation.resultMapEntry'], ['EAnnotation.result', 'EAnnotation""]","['EAnnotation.result','EStringToStringMapEntry.documentation']","['EAnnotation.result','EAnnotation.result']",EAnnotation.result,False,False,EStringToStringMapEntry,documentation,EAnnotation,result,False,False
122,122,122,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ownedEnd','EStringToStringMapEntry.documentation'],['EReference.ownedEnd','EAnnotation.ownedEnd'],['EReference.ownedEnd','EAnnotation.ownedEnd']"," 3 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oBymt6tEei97MD7GK1RmA', 'key':'documentation','value':'The ends that are owned by the association itself.\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/20110701}).</p>'}}""

$$",['Add_node'],"['EAnnotation.ownedEnd','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.ownedEnd,"[""['EAnnotation.ownedEnd', 'EStringToStringMapEntry.reference'], ['EAnnotation.owned"", ""['EAnnotation.ownedEnd', 'EAttribute.ownedEnd']].\n['Nurse.owned"", ""['EReference.ownedEnd', 'EReference.ownedEnd']].\n\nSynonymy"", ""['EAnnotation.ownedEnd', 'EStringToStringMapEntry.name'], ['EAnnotation.owned"", ""['EAnnotation.ownedEnd', 'EStringToStringMapEntry.parameters'], ['EAnnotation.owned"", ""['EReference.ownedStart', 'EAnnotation.ownedStart']].\n['Book', 'B"", ""['EAnnotation.ownedEnd', 'EAnnotation.ownedEnd']].\n['EAnnotation.owned""]","['EAnnotation.ownedEnd','EStringToStringMapEntry.documentation']","['EAnnotation.ownedEnd','EStringToStringMapEntry.reference']",EAnnotation.ownedEnd,False,False,EStringToStringMapEntry,documentation,EAnnotation,ownedEnd,False,False
129,129,129,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.decider','EStringToStringMapEntry.documentation'],['EReference.decider','EAnnotation.decider'],['EReference.decider','EAnnotation.decider']"," 3 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_1u0yx96tEei97MD7GK1RmA', 'key':'documentation','value':'An OutputPin on an Action in the test section whose Boolean value determines whether to continue executing the loop bodyPart.\\n<p>From package UML::Actions.</p>'}}""

$$",['Add_node'],"['EAnnotation.decider','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.decider,"[""['EAnnotation.decider', 'EStringToMappingEntry.documentation']].\n[['EAnnotation.decider"", ""['EReference.decider', 'EReference.decider']].\n['EReference.dec"", ""['EReference.decider', 'EAnnotation.decider']].\n['Flickr', 'has"", ""['EAnnotation.decider', 'EStringToStringMapEntry.decider']].\n[['Name', '"", ""['EAnnotation.decider', 'EStringToStringMapEntry.undocumented']].\n['EAnnotation"", ""['EReference.decider', 'EAnnotation.decider', 'EReference.decider'],"", ""['EAnnotation.decider', 'EStringToStringMapEntry.verb']]\n# The set of all""]","['EAnnotation.decider','EStringToStringMapEntry.documentation']","['EAnnotation.decider','EStringToMappingEntry.documentation']",EAnnotation.decider,False,False,EStringToStringMapEntry,documentation,EAnnotation,decider,False,False
130,130,130,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.getUpper','EStringToStringMapEntry.suppressedVisibility'],['EOperation.getUpper','EAnnotation.getUpper'],['EOperation.getUpper','EAnnotation.getUpper'],['EAnnotation.getUpper','EStringToStringMapEntry.documentation']"," 0 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_t2OuOt6tEei97MD7GK1RmA', 'key':'documentation','value':'The derived upper attribute must equal the upperBound.\\r\\nresult = upperBound()'}}""

$$",['Add_node'],"['EAnnotation.getUpper','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.getUpper,"[""['EAnnotation.getUpper', 'EStringToStringMapEntry.suppressedVisibility'], ['EAnnotation.get"", ""['EOperation.getLower', 'EAnnotation.getLower'], ['EOperation.getUpper','EAnnotation"", ""['EOperation.getLower', 'EAnnotation.getLower'].\n[['student', 'University'], ['"", ""['EAnnotation.getUpper', 'EStringToStringMapEntry']].\n['[[[[[EAnnotation"", ""['EAnnotation.getUpper', 'EStringToStringMapEntry.elementSuppression']].\n['EAnnotation"", ""['EAnnotation.getLower', 'EStringToStringMapEntry.suppressedVisibility']].\n['EAnnotation"", ""['EAnnotation.getUpper', 'EDataTypeSuppressedVisibilityEnum.suppressedVisibility']].\n['E"", ""['EOperation.getName', 'EAnnotation.getUpper'], ['EAnnotation.getName', 'EAnnotation']"", ""['EOperation.getLower', 'EAnnotation.getLower'].\n['EOperation.getUpper', '"", ""['EOperation.getLower', 'EAnnotation.getLower']].\n['EOperation.getUpper', '"", ""['EAnnotation.getUpper', 'EStringToStringMapEntry.suppressedVisibility'], ['EAnnotation.get"", ""['Annotation', 'EAnnotation.getUpper'], ['Annotation', 'EAnnotation.getUpper']].\n['"", ""['EAnnotation.insertedText', 'EAnnotation.getUpper'].\n[['Employee', 'Position'],['"", ""['EAnnotation.getUpper', 'EOperation.getUpper']].\n[['Customer', 'Customer'], ['"", ""['Collection.getUpper', 'Collection.getUpper']].\n['EAnnotation.getLower', 'EAnnotation""]","['EAnnotation.getUpper','EStringToStringMapEntry.documentation']","['EOperation.getLower','EAnnotation.getLower']",EAnnotation.getUpper,False,False,EStringToStringMapEntry,documentation,EAnnotation,getUpper,False,False
131,131,131,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']"," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIICvd6tEei97MD7GK1RmA', 'key':'documentation','value':'The multiplicity of the result output pin is 1..1.\\nself.result.multiplicity.is(1,1)'}}""

$$",['Add_node'],"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.multiplicity,"[""['EAnnotation', 'EAnnotation'].\n['EAnnotation.multiplicity', 'EStringToString"", ""['EOperation.multiplicity', 'EAnnotation.multiplicity'], ['EAnnotation.multiplicity"", ""['EOperation.multiplicity', 'EAnnotation.multiplicity'], ['EAnnotation.multiplicity"", ""['EAnnotation.multiplicity', 'EStringToStringMapEntry.documentation']].\n[['Borrower"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity.documentation']].\n['EAnnotation.m"", ""['EOperation.multiplicity', 'EAnnotation.multiplicity'],['EOperation.multiplicity',"", ""['EAnnotation', 'EStringToStringMapEntry']].\n[['EAnnotation.multiplicity', '""]","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","['EOperation.multiplicity','EAnnotation.multiplicity']",EAnnotation.multiplicity,False,False,EStringToStringMapEntry,documentation,EAnnotation,multiplicity,False,False
134,134,134,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ends_of_association','EStringToStringMapEntry.documentation'],['EOperation.ends_of_association','EAnnotation.ends_of_association'],['EOperation.ends_of_association','EAnnotation.ends_of_association']"," 3 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIIB3d6tEei97MD7GK1RmA', 'key':'documentation','value':'The ends of the association must not be static.\\nself.end.association.memberEnd->forall(e | not e.isStatic)'}}""

$$",['Add_node'],"['EAnnotation.ends_of_association','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.ends_of_association,"[""['EAnnotation.end_of_association', 'EStringToStringMapEntry.documentation']].\n['EAnnotation"", ""['EOperation.ends_of_association', 'EAnnotation.ends_of_association']].\n['EAnnotation"", ""['EOperation.ends_of_association', 'EAnnotation.ends_of_association']].\n['EOperation"", ""['EAnnotation.starts_of_association', 'EStringToStringMapEntry.documentation']].\n\n- The"", ""['EAnnotation.fundamental', 'EStringToEAnnotationEndMapEntry.documentation']].\n[['"", ""['EAnnotation.ends_of_association', 'EAnnotation.ends_of_association']].\n['EAnnotation"", ""['EAnnotation.end_of_association', 'EStringToStringMapEntry.documentation']].\n['EAnnotation""]","['EAnnotation.ends_of_association','EStringToStringMapEntry.documentation']","['EAnnotation.end_of_association','EStringToStringMapEntry.documentation']",EAnnotation.ends_of_association,False,False,EStringToStringMapEntry,documentation,EAnnotation,ends_of_association,False,False
142,142,142,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type_is_classifier','EStringToStringMapEntry.documentation'],['EOperation.type_is_classifier','EAnnotation.type_is_classifier'],['EOperation.type_is_classifier','EAnnotation.type_is_classifier']"," 4 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIIBBN6tEei97MD7GK1RmA', 'key':'documentation','value':'The type of the result output pin is the classifier.\\ntrue'}}""

$$",['Add_node'],"['EAnnotation.type_is_classifier','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.type_is_classifier,"[""['EAnnotation.type_is_classifier', 'EStringToStringMapEntry.keyword']].\n['EAnnotation.type"", ""['EOperation.type_is_subclass', 'EAnnotation.type_is_subclass']].\n[['Parent',"", ""['EClassification.type_is_classifier', 'EAnnotation.type_is_classifier']].\n['EAnnotation.type_is"", ""['EAnnotation.type_is_classifier', 'EStringToStringMapEntry.identifier'], ['EAnnotation.type_is"", ""['EAnnotation.type_is_classifier', 'EStringToStringMapEntry.service'].\n['EAnnotation.type"", ""['EAnnotation.type_is_classifier', 'EAnnotation.type_is_classifier']].\n['EAnnotation.type_is"", ""['EAnnotation.type_is_classifier', 'EAnnotation.type_is_class']].\n['EAnnotation.type_is""]","['EAnnotation.type_is_classifier','EStringToStringMapEntry.documentation']","['EAnnotation.type_is_classifier','EStringToStringMapEntry.keyword']",EAnnotation.type_is_classifier,False,False,EStringToStringMapEntry,documentation,EAnnotation,type_is_classifier,False,False
143,143,143,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']"," 3 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_1u02yd6tEei97MD7GK1RmA', 'key':'documentation','value':'The multiplicity of the InputPins is 1..1.\\nfirst.is(1,1) and second.is(1,1)\\n'}}""

$$",['Add_node'],"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.multiplicity,"[""['EAnnotation.multiplicity', 'EStringToStringMapEntry.documentation']].\n[['EAnnotation.m"", ""['EOperation.multiplicity', 'EAnnotation.type'], ['EAnnotation.multiplicity', '"", ""['EAnnotation.multiplicity', 'EOperation.multiplicity']].\n['EAnnotation.multip"", ""['EAnnotation.multiplicity', 'EStringToStringMapEntry.name'], ['EAnnotation.multip"", ""['EAnnotation.multiplicity', 'EStringToStringMapEntry.documentation']].\n['EAnnotation.m"", ""['EAnnotation.multiplicity','EAnnotation.multiplicity']].\n['EAnnotation.multiplicity"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity.documentation'], ['EAnnotation.multip""]","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']",EAnnotation.multiplicity,True,False,EStringToStringMapEntry,documentation,EAnnotation,multiplicity,False,False
147,147,147,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.qualifier','EStringToStringMapEntry.documentation'],['EReference.qualifier','EAnnotation.qualifier'],['EReference.qualifier','EAnnotation.qualifier']"," 2 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oBzot6tEei97MD7GK1RmA', 'key':'documentation','value':'An optional list of ordered qualifier attributes for the end. If the list is empty, then the Association is not qualified.\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/2011070'}}""

$$",['Add_node'],"['EAnnotation.qualifier','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.qualifier,"[""['EAnnotation.qualifier', 'EAnnotation.qualifier']].\n['EAnnotation.qualifier', '"", ""['EReference.id', 'EAnnotation.id']].\n['EReference.qualifier', '"", ""['EAnnotation.qualifier','EReference.qualifier']].\n['residence', 'residence'],"", ""['Eannotation.qualifier', 'Eannotation.qualifier']].\n['EAnnotation.qualifier', '"", ""['EAnnotation.qualifier', 'EStringToStringMapEntry.qualifier']].\n['EAnnotation.qual"", ""['EReference.qualifier', 'EAnnotation.qualifier'], ['EReference.qualifier',"", ""['EAnnotation.qualifier', 'EStringToStringMapEntry.quality'].\n['EAnnotation.qualifier""]","['EAnnotation.qualifier','EStringToStringMapEntry.documentation']","['EAnnotation.qualifier','EAnnotation.qualifier']",EAnnotation.qualifier,False,False,EStringToStringMapEntry,documentation,EAnnotation,qualifier,False,False
148,148,148,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.allow_access','EStringToStringMapEntry.documentation'],['EOperation.allow_access','EAnnotation.allow_access'],['EOperation.allow_access','EAnnotation.allow_access']"," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIH6g96tEei97MD7GK1RmA', 'key':'documentation','value':'The visibility of at least one end must allow access to the class using the action.\\ntrue'}}""

$$",['Add_node'],"['EAnnotation.allow_access','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.allow_access,"[""['EAnnotation.allow_access', 'EAnnotation.allow_access'].\n\n- » For more information see the"", ""['EOperation.allow_access', 'EAnnotation.technical_info'].\n['EOperation.find_related',"", ""['EOperation.allow_access', 'EAnnotation.allow_access']].\n['EOperation.allow_access', '"", ""['EAnnotation.assigned_to', 'EStringToStringMapEntry.documentation'],['EAnnotation.assigned_to"", ""['EAnnotation.deal_with', 'EStringToStringMapEntry.documentation'], ['EAnnotation.add',"", ""['EAnnotation.allow_access', 'EAnnotation.allow_access']].\n['EAnnotation.allow_access', '"", ""['EAnnotation.allow_access', 'EAnnotation.allow_access'], ['EAnnotation.allow_access', 'E""]","['EAnnotation.allow_access','EStringToStringMapEntry.documentation']","['EAnnotation.allow_access','EAnnotation.allow_access']",EAnnotation.allow_access,False,False,EStringToStringMapEntry,documentation,EAnnotation,allow_access,False,False
150,150,150,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.QualifierValue','EStringToStringMapEntry.documentation'],['EClass.QualifierValue','EAnnotation.QualifierValue'],['EClass.QualifierValue','EAnnotation.QualifierValue']"," 1 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oCL4t6tEei97MD7GK1RmA', 'key':'documentation','value':'A qualifier value is not an action. It is an element that identifies links. It gives a single qualifier within a link end data specification.\\n<p>Merged from package UML (URI {@literal http://www.omg.o'}}""

$$",['Add_node'],"['EAnnotation.QualifierValue','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.QualifierValue,"[""['EAnnotation.QualifierValue', 'EAnnotation.QualifierValue.analyzablevalue']]."", ""['EClass.Qualifier', 'EAnnotation.Qualifier']].\n['EClass.QualifierValue',"", ""['EClass.QualifierValue', 'EClass.QualifierValue'],['EAnnotation.QualifierValue',"", ""['EAnnotation.QualifierValue', 'EStringToStringMapEntry.conceptKey'], ['EAnnotation"", ""['EAnnotation.QualifierValue', 'EAnnotationQualifierValue.documentation']].\n['EAnnotation.Qualifier"", ""['EClass.Classification', 'EAnnotation.Classification']].\n['EClass.qualifierValue',"", ""['EAnnotation.QualifierValue', 'EStringToStringMapEntry.id']].\n['EAnnotation.Qual""]","['EAnnotation.QualifierValue','EStringToStringMapEntry.documentation']","['EAnnotation.QualifierValue','EAnnotation.QualifierValue.analyzablevalue']",EAnnotation.QualifierValue,False,False,EStringToStringMapEntry,documentation,EAnnotation,QualifierValue,False,False
153,153,153,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type','EStringToStringMapEntry.documentation'],['EReference.type','EAnnotation.type'],['EReference.type','EAnnotation.type']"," 1 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oB2LN6tEei97MD7GK1RmA', 'key':'documentation','value':'This information is derived from the return result for this Operation.\\nSpecifies the return result of the operation, if present.\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/2'}}""

$$",['Add_node'],"['EAnnotation.type','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.type,"[""['EAnnotation.type', 'EStringToStringMapEntry.author'], ['EAnnotation.type', 'E"", ""['EAnnotation.type', 'EAnnotation.type']].\n['EReference.type', 'EReference.type"", ""['annotation.type', 'EAnnotation.type']].\n['EReference.type', 'EAnnotation.type"", ""['EAnnotation.type', 'EAnnotation.type'],['EAnnotation.type', 'EAnnotation.type']]."", ""['EAnnotation.type', 'EAnnotation.type'], ['EAnnotation.type', 'EAnnotation.type']"", ""['EReference.type', 'EReference.type'],['EReference.type', 'EAnnotation"", ""['EAnnotation.type', 'EStringToStringMapEntry.language']]]\n\n  # Convert this concept map""]","['EAnnotation.type','EStringToStringMapEntry.documentation']","['EAnnotation.type','EAnnotation.type']",EAnnotation.type,False,False,EStringToStringMapEntry,documentation,EAnnotation,type,False,False
